masv,hodem,ten,ngaysinh,gioitinh,noisinh,malop
2401,Phạm Quang,Khánh,2002/10/25,1,Nam Định,NA24
2402,Trần Văn,Đại,2002/09/23,1,Trà Vinh,PM22
2403,Lê Mạnh,Thịnh,2004/11/25,0,Long An,PM22
2404,Nguyễn Minh,Diễm,2000/01/15,1,Trà Vinh,NA24
2405,Trần Hoàng,Phương,2003/09/26,1,Cần Thơ,TU23
2406,Nguyễn Hoàng,Thịnh,2000/08/12,0,HCM,PM23
2407,Phan Trung,Bảo,2005/07/03,0,Long An,SP24
2408,Nguyễn Thị,Đức,2003/01/01,0,Long An,PM23
2409,Phạm Minh,Ngân,2002/10/11,1,Tây Ninh,TM24
2410,Võ Văn,Khanh,2000/02/23,1,HCM,HC24
2411,Võ Hoàng,Khải,2004/11/23,1,HCM,TU24
2412,Nguyễn Hoài,Tiên,2000/09/28,0,Vĩnh Long,PM22
2413,Trần Hoài,Cường,2005/11/08,1,Vĩnh Long,NA24
2414,Phạm Mạnh,Diễm,2000/06/03,0,Nam Định,LU24
2415,Nguyễn Hữu,Phú,2004/02/21,0,HCM,DT24
2416,Trương Trung,Phúc,2001/07/08,1,Vĩnh Long,PM24
2417,Phan Hoàng,Lợi,2000/06/09,0,Tiền Giang,DT24
2418,Lê Thế,Uyên,2000/09/10,0,Long An,TU24
2419,Trần Hoàng,Như,2004/06/06,1,Trà Vinh,HQ24
2420,Trần Hoài,Giang,2001/04/30,1,Trà Vinh,MT24
2421,Trần Hoài,Danh,2004/06/09,1,Long An,HT22
2422,Phạm Trung,Nghĩa,2004/10/30,0,Vĩnh Long,SP24
2423,Trương Quang,Khanh,2002/09/02,0,Tiền Giang,SP24
2424,Nguyễn Trung,Nghĩa,2004/12/13,1,Tiền Giang,SP24
2425,Trần Trung,Khánh,2000/03/26,1,Nam Định,TU24
2426,Phan Gia,My,2004/10/01,1,Tây Ninh,HQ24
2427,Võ Thế,Long,2004/02/19,0,Vĩnh Long,TU23
2428,Phan Minh,Phước,2004/08/28,0,An Giang,NA24
2429,Phạm Minh,Khang,2000/06/11,0,Tiền Giang,TU24
2430,Bùi Trung,Nghĩa,2002/11/01,0,Trà Vinh,PM23
2431,Nguyễn Thị,Huỳnh,2004/07/29,0,Long An,MT24
2432,Bùi Thế,Mỹ,2002/04/13,0,Trà Vinh,TM24
2433,Nguyễn Văn,Long,2005/06/15,1,Cần Thơ,TU22
2434,Phạm Thị,Oanh,2002/08/25,0,Cần Thơ,MK24
2435,Lê Thế,Đạt,2005/06/22,0,An Giang,HQ23
2436,Nguyễn Minh,Vỹ,2005/09/28,1,Nam Định,SP24
2437,Võ Quang,Ánh,2000/02/15,1,Vĩnh Long,TU23
2438,Võ Thế,Thịnh,2005/12/17,1,Nam Định,HT23
2439,Phan Thị,Ánh,2000/09/22,0,Trà Vinh,PM21
2440,Lê Hoài,Thương,2001/07/16,1,An Giang,PM24
2441,Nguyễn Thị,Hậu,2002/05/20,0,Trà Vinh,TC23
2442,Trương Hoài,Ngọc,2004/07/20,0,Tiền Giang,MT24
2443,Phạm Văn,Cẩm,2002/09/20,1,Tây Ninh,TM24
2444,Trương Minh,Ngân,2001/06/30,0,Tây Ninh,HT23
2445,Trần Minh,Cường,2005/03/21,0,Trà Vinh,SP22
2446,Nguyễn Mạnh,Bạch,2003/06/23,0,Nam Định,NA24
2447,Phạm Trung,Phương,2005/03/13,1,Tây Ninh,TU24
2448,Trương Thế,Trang,2002/06/24,1,Nam Định,SP22
2449,Phạm Quang,Sơn,2004/12/15,1,Long An,PM24
2450,Phạm Thị,Khải,2004/10/05,0,Nam Định,TU24
2451,Nguyễn Nhật,Băng,2005/06/28,1,Cần Thơ,HT24
2452,Phạm Mạnh,Hà,2002/10/25,0,Tây Ninh,SP24
2453,Trương Thế,Bạch,2003/02/16,0,Tiền Giang,SP22
2454,Bùi Thế,Đức,2005/11/02,0,Nam Định,TU23
2455,Bùi Văn,Thanh,2005/07/30,1,Nam Định,HC24
2456,Nguyễn Mạnh,Ngân,2002/07/17,0,Tiền Giang,TI24
2457,Bùi Văn,Chi,2004/09/24,1,Cần Thơ,NA24
2458,Lê Quang,Thành,2002/08/19,0,Trà Vinh,SP22
2459,Nguyễn Gia,Nghĩa,2005/03/05,1,Long An,MK24
2460,Trương Mạnh,Khải,2005/10/04,1,HCM,TU23
2461,Phan Quang,Sang,2004/09/24,0,An Giang,VL24
2462,Phạm Hoàng,Sơn,2003/12/09,1,Tây Ninh,TU22
2463,Phan Hữu,Lợi,2004/06/03,1,Vĩnh Long,DT24
2464,Bùi Hoài,Tấn,2004/08/25,1,Long An,TU24
2465,Lê Thế,Cẩm,2001/07/02,0,Vĩnh Long,HQ24
2466,Bùi Gia,Sương,2002/08/21,1,An Giang,PM22
2467,Võ Minh,Kiều,2001/07/11,0,Cần Thơ,HD24
2468,Trần Gia,Tiên,2000/01/07,1,Long An,SP22
2469,Lê Nhật,Tiên,2003/12/11,1,An Giang,NA23
2470,Trương Thị,Kim,2002/01/25,0,Cần Thơ,HQ23
2471,Lê Hữu,Mỹ,2005/05/05,0,HCM,HT24
2472,Bùi Quang,Long,2000/02/15,0,Long An,MT24
2473,Phan Nhật,Long,2000/06/07,1,Vĩnh Long,PM21
2474,Phan Thị,Kiều,2004/09/03,0,Tiền Giang,SP23
2475,Nguyễn Trung,Vinh,2005/04/26,0,Vĩnh Long,LU24
2476,Phạm Quang,Khôi,2000/12/12,1,Long An,LU24
2477,Võ Văn,Hồng,2004/05/13,1,Cần Thơ,PM22
2478,Lê Thị,Danh,2003/02/05,0,Long An,TM24
2479,Phạm Minh,Phú,2002/08/11,0,Long An,MT24
2480,Nguyễn Văn,Nhã,2001/10/17,1,An Giang,TU24
2481,Bùi Văn,Anh,2004/09/22,1,Cần Thơ,MT24
2482,Võ Quang,Long,2000/09/05,1,Tiền Giang,HT23
2483,Trương Hoàng,Long,2004/10/09,0,Trà Vinh,SP24
2484,Phan Mạnh,Giang,2003/10/06,0,HCM,NA24
2485,Phan Hữu,Thành,2001/01/10,0,Tây Ninh,HC24
2486,Võ Thế,Băng,2005/12/16,1,Tây Ninh,HQ23
2487,Nguyễn Hoài,An,2001/03/02,1,Trà Vinh,PM23
2488,Lê Thế,Sang,2005/03/08,0,Long An,HT23
2489,Phan Mạnh,Hà,2001/11/29,0,Tiền Giang,TI24
2490,Phạm Thế,Phước,2000/12/19,0,Nam Định,HQ24
2491,Phạm Nhật,Đạt,2004/11/14,0,Cần Thơ,HQ24
2492,Phạm Hoài,Ân,2000/05/24,1,Trà Vinh,TC23
2493,Phan Hoàng,Kim,2004/12/20,0,Vĩnh Long,DL24
2494,Phan Văn,Kiều,2005/03/29,1,Trà Vinh,NA23
